,Nutrient nitrogen N (total) - tonnes,Nutrient phosphate P2O5 (total) - tonnes,Nutrient potash K2O (total) - tonnes,Item,Yield(tonnes/ha),Fung & Bact – Benzimidazoles,"Fung & Bact – Diazines, morpholines",Fung & Bact – Dithiocarbamates,Fung & Bact – Inorganics,Fung & Bact – Other,"Fung & Bact – Triazoles, diazoles",Herbicides – Amides,Herbicides – Carbamates,Herbicides – Dinitroanilines,Herbicides – Other,Herbicides – Phenoxy hormone products,Herbicides – Triazines,Herbicides – Urea derivates,Insecticides – Botanical products and biologicals,Insecticides – Carbamates,Insecticides – Organo-phosphates,Insecticides – Other,Insecticides – Pyrethroids,Mineral Oils,Plant Growth Regulators,Rodenticides – Other,Herbicides – Bipiridils,Herbicides – Sulfonyl ureas,Rodenticides – Anti-coagulants,yield_t-1,yield_t-2,yield_t-3
2004-01-01,1778438,302714,478415,Maize (corn),7.520801,81.98,828.26,1960.16,958.42,2816.43,1210.85,2116.78,602.17,1014.27,6523.4,1367.5,1674.3,2413.92,151.0,120.06,495.05,401.05,34.5,192.49,3007.76,131.51,115.21,95.36,0.1,1.2888009999999974,4.729900999999999,3.016500999999999
2005-01-01,1784996,273937,426111,Maize (corn),2.2229009999999985,62.09,773.65,2052.92,1618.71,3844.31,1189.43,2325.59,572.87,1021.06,6760.73,1354.26,1477.98,1902.01,109.7,211.46,247.44,360.88,33.83,147.8,3347.26,100.25,104.06,91.73,0.1,7.520801,1.2888009999999974,4.729900999999999
2006-01-01,1599788,264610,442578,Maize (corn),2.5172009999999974,55.18,721.0,1821.52,1863.35,3809.17,1251.33,2450.6,597.58,1534.5,6952.35,1316.64,1572.02,2461.68,113.28,154.48,120.82,347.74,39.92,104.88,3229.24,115.33,68.07,109.34,0.1,2.2229009999999985,7.520801,1.2888009999999974
2007-01-01,1807176,316692,511303,Maize (corn),6.417701,61.21,593.04,2383.78,2044.23,3871.61,1355.51,2906.99,719.77,1009.07,7594.14,1133.07,1782.14,1814.94,168.26,129.13,293.8,701.4,77.85,121.74,2826.45,143.55,104.04,99.54,0.1,2.5172009999999974,2.2229009999999985,7.520801
2008-01-01,1550625,174345,179171,Maize (corn),2.7633009999999993,66.04,714.68,2162.09,2357.55,4107.59,1344.57,3240.24,518.62,831.32,9572.6,914.86,1718.87,1605.44,160.37,115.63,195.9,645.55,58.12,123.02,2921.53,183.65,91.15,132.89,0.41,6.417701,2.5172009999999974,2.2229009999999985
2009-01-01,1569045,235159,362791,Maize (corn),3.395400999999997,169.81,809.46,1534.54,2351.21,3852.59,1483.63,2895.95,634.27,893.97,5882.46,1604.93,1552.39,1479.22,118.89,191.22,336.08,646.68,62.69,87.57,2844.31,174.13,91.02,124.83,0.41,2.7633009999999993,6.417701,2.5172009999999974
2010-01-01,1786485,286348,433743,Maize (corn),3.153700999999999,118.77,739.39,1605.55,1875.52,4127.99,1199.48,3644.42,812.79,828.51,6801.31,1008.4,1793.04,1583.14,111.97,208.91,237.59,633.6,51.72,108.14,2710.49,125.96,99.95,103.44,0.04,3.395400999999997,2.7633009999999993,6.417701
2011-01-01,1640414,247080,386414,Maize (corn),6.139800999999999,134.38,767.47,1480.43,2144.48,3641.63,1919.28,3594.07,866.8,829.23,7570.13,1023.31,2269.73,1517.49,155.22,234.98,79.44,553.37,86.38,110.28,3165.29,107.93,119.64,122.37,0.04,3.153700999999999,3.395400999999997,2.7633009999999993
2012-01-01,1648828,284168,421042,Maize (corn),2.0754009999999985,134.88,588.52,1243.46,1920.32,3014.48,1872.51,4289.26,1020.85,890.15,8300.47,912.28,2508.61,1618.61,114.09,230.81,158.3,503.01,84.26,169.53,3233.11,159.12,125.92,165.32,0.03,6.139800999999999,3.153700999999999,3.395400999999997
2013-01-01,1675289,283997,457131,Maize (corn),2.309200999999999,161.4,650.0,1366.6,2165.3,3655.3,2111.0,3815.6,900.2,927.0,7150.1,1114.6,2368.3,1368.9,259.5,100.5,157.4,485.0,93.1,140.0,2885.5,78.1,81.7,108.0,0.0,2.0754009999999985,6.139800999999999,3.153700999999999
2014-01-01,1822791,301184,459855,Maize (corn),7.326500999999998,95.23,654.85,1613.57,2746.14,4848.18,2632.58,3681.37,909.0,938.88,7379.42,1291.52,2036.57,1362.56,124.09,54.16,132.02,372.21,122.19,138.31,2220.81,95.53,100.42,117.3,0.01,2.309200999999999,2.0754009999999985,6.139800999999999
2015-01-01,1710616,287762,397759,Maize (corn),1e-06,77.7,735.09,1627.26,2592.83,4863.35,2924.24,3562.88,905.05,974.72,6352.58,952.41,1928.81,1103.62,112.19,173.04,133.03,443.66,118.73,151.78,3708.34,33.69,122.67,381.23,0.01,7.326500999999998,2.309200999999999,2.0754009999999985
2016-01-01,1658837,231079,430080,Maize (corn),6.7081009999999965,67.0,458.0,1560.0,2404.0,5304.0,2352.0,3404.0,198.0,980.0,6779.0,643.0,1753.0,1015.0,19.0,191.0,11.0,15019.0,105.0,138.0,3871.0,8.0,132.0,122.0,0.04,1e-06,7.326500999999998,2.309200999999999
2017-01-01,1496649,208527,391640,Maize (corn),3.764501,112.0,357.0,1693.0,3511.0,5418.0,2180.0,3397.0,237.0,742.0,7431.0,1257.0,2374.0,1038.0,31.0,152.0,63.0,14096.0,126.0,113.0,3381.0,3.0,144.0,113.0,0.04,6.7081009999999965,1e-06,7.326500999999998
2018-01-01,1342284,201159,409547,Maize (corn),0.5541009999999983,76.0,292.0,1644.0,3313.0,4503.0,1860.0,3013.0,294.0,622.0,6306.0,790.0,2321.0,935.0,15.0,114.0,112.0,15759.0,133.0,119.0,2138.0,5.0,165.0,99.0,0.1,3.764501,6.7081009999999965,1e-06
2019-01-01,1372084,247766,419542,Maize (corn),6.876200999999999,47.0,293.0,1513.0,2711.0,3953.0,1705.0,2901.0,355.0,599.0,5898.0,640.0,2306.0,1012.0,25.0,149.0,119.0,18191.0,113.0,120.0,2089.0,10.0,84.0,130.0,0.41,0.5541009999999983,3.764501,6.7081009999999965
2020-01-01,1265477,192182,446396,Maize (corn),3.9249009999999993,32.0,52.0,1655.0,2851.0,3180.0,1713.0,3124.0,143.0,675.0,6779.0,651.0,2433.0,665.0,20.0,86.0,0.0,20739.0,121.0,359.0,2233.0,16.0,0.0,134.0,0.1,6.876200999999999,0.5541009999999983,3.764501
1993-01-01,1612215,415000,645000,Potatoes,13.477501000000002,142.0,188.0,2413.0,2193.0,1768.0,956.0,782.0,1056.0,423.0,4802.0,2768.0,355.0,2326.0,301.0,131.0,448.0,807.0,56.0,682.0,2293.0,48.0,161.0,23.0,1.0,4.416401,4.070001,1e-06
1994-01-01,1787436,451000,668000,Potatoes,7.174801000000001,176.0,614.0,2427.0,2078.0,1460.0,943.0,957.0,1342.0,148.0,5284.0,3040.0,384.0,3604.0,173.0,110.0,510.0,565.0,44.0,667.0,1672.0,19.0,51.0,24.0,1.0,13.477501000000002,4.416401,4.070001
1995-01-01,1770000,401946,649000,Potatoes,5.629501,184.0,1043.0,2966.0,2514.0,1629.0,1316.0,1114.0,937.0,1001.0,5662.0,2821.0,590.0,3758.0,174.0,152.0,381.0,738.0,47.0,401.0,2435.0,18.0,141.0,41.0,1.0,7.174801000000001,13.477501000000002,4.416401
1996-01-01,1758008,415136,645781,Potatoes,13.233201,173.0,1288.0,3452.0,2631.0,1767.0,1093.0,1178.0,991.0,1125.0,5942.0,2677.0,563.0,3928.0,102.0,156.0,364.0,595.0,42.0,782.0,2642.0,18.0,84.0,53.0,0.0,5.629501,7.174801000000001,13.477501000000002
1997-01-01,1788388,409536,658895,Potatoes,12.629101000000004,188.0,795.0,2989.0,2158.0,2111.0,1156.0,1295.0,707.0,812.0,6208.0,2593.0,392.0,4315.0,188.0,100.0,305.0,654.0,35.0,138.0,3040.0,42.0,104.0,59.0,1.0,13.233201,5.629501,7.174801000000001
1998-01-01,1903017,406678,628733,Potatoes,12.363001000000002,223.0,1035.0,2830.0,2989.0,1788.0,1197.0,1097.0,541.0,837.0,7424.0,2541.0,390.0,4272.0,202.0,96.0,435.0,648.0,61.0,125.0,3741.0,81.0,93.0,74.0,0.0,12.629101000000004,13.233201,5.629501
1999-01-01,2014010,420000,599150,Potatoes,11.722501,228.0,1318.0,2381.0,2385.0,1789.0,1172.0,1176.0,696.0,613.0,7308.0,2465.0,358.0,3035.0,180.0,64.0,473.0,598.0,47.0,87.0,2765.0,140.0,96.0,78.0,0.0,12.363001000000002,12.629101000000004,13.233201
2000-01-01,1847507,351317,543952,Potatoes,17.567301,193.27,792.17,1871.66,3009.89,2194.46,1314.41,1959.03,802.2,668.86,6680.33,2342.78,1259.85,2708.81,86.04,106.96,449.78,705.39,32.18,84.03,2141.86,114.0,110.74,78.2,0.3,11.722501,12.363001000000002,12.629101000000004
2001-01-01,1792212,315339,505862,Potatoes,14.999400999999997,205.07,913.95,1438.38,1958.85,2199.62,1306.07,1773.87,316.06,776.76,6522.8,1637.69,1437.61,2302.63,61.93,112.42,393.86,714.37,26.12,90.83,2943.45,81.58,106.56,68.21,0.2,17.567301,11.722501,12.363001000000002
2002-01-01,1787833,327387,479673,Potatoes,13.346200999999999,323.97,795.09,1814.0,2485.87,3152.39,1344.47,1831.82,570.01,680.33,6687.86,1927.08,756.6,1690.73,77.18,142.61,296.68,843.99,51.83,137.4,3146.74,106.44,114.51,69.0,0.1,14.999400999999997,17.567301,11.722501
2003-01-01,1827767,284138,486464,Potatoes,8.741300999999998,49.16,655.17,2611.99,2786.63,2643.78,1078.6,2030.56,658.33,894.83,6109.07,1559.67,1444.86,2377.27,54.73,85.92,386.61,478.04,32.84,128.04,3275.93,78.82,117.49,157.45,0.1,13.346200999999999,14.999400999999997,17.567301
2004-01-01,1778438,302714,478415,Potatoes,18.399201000000005,81.98,828.26,1960.16,958.42,2816.43,1210.85,2116.78,602.17,1014.27,6523.4,1367.5,1674.3,2413.92,151.0,120.06,495.05,401.05,34.5,192.49,3007.76,131.51,115.21,95.36,0.1,8.741300999999998,13.346200999999999,14.999400999999997
2005-01-01,1784996,273937,426111,Potatoes,16.203401,62.09,773.65,2052.92,1618.71,3844.31,1189.43,2325.59,572.87,1021.06,6760.73,1354.26,1477.98,1902.01,109.7,211.46,247.44,360.88,33.83,147.8,3347.26,100.25,104.06,91.73,0.1,18.399201000000005,8.741300999999998,13.346200999999999
2006-01-01,1599788,264610,442578,Potatoes,10.791600999999998,55.18,721.0,1821.52,1863.35,3809.17,1251.33,2450.6,597.58,1534.5,6952.35,1316.64,1572.02,2461.68,113.28,154.48,120.82,347.74,39.92,104.88,3229.24,115.33,68.07,109.34,0.1,16.203401,18.399201000000005,8.741300999999998
2007-01-01,1807176,316692,511303,Potatoes,16.570601000000003,61.21,593.04,2383.78,2044.23,3871.61,1355.51,2906.99,719.77,1009.07,7594.14,1133.07,1782.14,1814.94,168.26,129.13,293.8,701.4,77.85,121.74,2826.45,143.55,104.04,99.54,0.1,10.791600999999998,16.203401,18.399201000000005
2008-01-01,1550625,174345,179171,Potatoes,17.984201,66.04,714.68,2162.09,2357.55,4107.59,1344.57,3240.24,518.62,831.32,9572.6,914.86,1718.87,1605.44,160.37,115.63,195.9,645.55,58.12,123.02,2921.53,183.65,91.15,132.89,0.41,16.570601000000003,10.791600999999998,16.203401
2009-01-01,1569045,235159,362791,Potatoes,18.528101,169.81,809.46,1534.54,2351.21,3852.59,1483.63,2895.95,634.27,893.97,5882.46,1604.93,1552.39,1479.22,118.89,191.22,336.08,646.68,62.69,87.57,2844.31,174.13,91.02,124.83,0.41,17.984201,16.570601000000003,10.791600999999998
2010-01-01,1786485,286348,433743,Potatoes,14.099400999999999,118.77,739.39,1605.55,1875.52,4127.99,1199.48,3644.42,812.79,828.51,6801.31,1008.4,1793.04,1583.14,111.97,208.91,237.59,633.6,51.72,108.14,2710.49,125.96,99.95,103.44,0.04,18.528101,17.984201,16.570601000000003
2011-01-01,1640414,247080,386414,Potatoes,19.980101000000005,134.38,767.47,1480.43,2144.48,3641.63,1919.28,3594.07,866.8,829.23,7570.13,1023.31,2269.73,1517.49,155.22,234.98,79.44,553.37,86.38,110.28,3165.29,107.93,119.64,122.37,0.04,14.099400999999999,18.528101,17.984201
2012-01-01,1648828,284168,421042,Potatoes,18.980601,134.88,588.52,1243.46,1920.32,3014.48,1872.51,4289.26,1020.85,890.15,8300.47,912.28,2508.61,1618.61,114.09,230.81,158.3,503.01,84.26,169.53,3233.11,159.12,125.92,165.32,0.03,19.980101000000005,14.099400999999999,18.528101
2013-01-01,1675289,283997,457131,Potatoes,14.049401000000001,161.4,650.0,1366.6,2165.3,3655.3,2111.0,3815.6,900.2,927.0,7150.1,1114.6,2368.3,1368.9,259.5,100.5,157.4,485.0,93.1,140.0,2885.5,78.1,81.7,108.0,0.0,18.980601,19.980101000000005,14.099400999999999
2014-01-01,1822791,301184,459855,Potatoes,21.639001,95.23,654.85,1613.57,2746.14,4848.18,2632.58,3681.37,909.0,938.88,7379.42,1291.52,2036.57,1362.56,124.09,54.16,132.02,372.21,122.19,138.31,2220.81,95.53,100.42,117.3,0.01,14.049401000000001,18.980601,19.980101000000005
2015-01-01,1710616,287762,397759,Potatoes,18.035201,77.7,735.09,1627.26,2592.83,4863.35,2924.24,3562.88,905.05,974.72,6352.58,952.41,1928.81,1103.62,112.19,173.04,133.03,443.66,118.73,151.78,3708.34,33.69,122.67,381.23,0.01,21.639001,14.049401000000001,18.980601
2016-01-01,1658837,231079,430080,Potatoes,18.626301000000005,67.0,458.0,1560.0,2404.0,5304.0,2352.0,3404.0,198.0,980.0,6779.0,643.0,1753.0,1015.0,19.0,191.0,11.0,15019.0,105.0,138.0,3871.0,8.0,132.0,122.0,0.04,18.035201,21.639001,14.049401000000001
2017-01-01,1496649,208527,391640,Potatoes,21.010001000000003,112.0,357.0,1693.0,3511.0,5418.0,2180.0,3397.0,237.0,742.0,7431.0,1257.0,2374.0,1038.0,31.0,152.0,63.0,14096.0,126.0,113.0,3381.0,3.0,144.0,113.0,0.04,18.626301000000005,18.035201,21.639001
2018-01-01,1342284,201159,409547,Potatoes,9.595500999999997,76.0,292.0,1644.0,3313.0,4503.0,1860.0,3013.0,294.0,622.0,6306.0,790.0,2321.0,935.0,15.0,114.0,112.0,15759.0,133.0,119.0,2138.0,5.0,165.0,99.0,0.1,21.010001000000003,18.626301000000005,18.035201
2019-01-01,1372084,247766,419542,Potatoes,13.259700999999998,47.0,293.0,1513.0,2711.0,3953.0,1705.0,2901.0,355.0,599.0,5898.0,640.0,2306.0,1012.0,25.0,149.0,119.0,18191.0,113.0,120.0,2089.0,10.0,84.0,130.0,0.41,9.595500999999997,21.010001000000003,18.626301000000005
2020-01-01,1265477,192182,446396,Potatoes,17.057601000000005,32.0,52.0,1655.0,2851.0,3180.0,1713.0,3124.0,143.0,675.0,6779.0,651.0,2433.0,665.0,20.0,86.0,0.0,20739.0,121.0,359.0,2233.0,16.0,0.0,134.0,0.1,13.259700999999998,9.595500999999997,21.010001000000003
1994-01-01,1787436,451000,668000,Rape or colza seed,0.8961010000000001,176.0,614.0,2427.0,2078.0,1460.0,943.0,957.0,1342.0,148.0,5284.0,3040.0,384.0,3604.0,173.0,110.0,510.0,565.0,44.0,667.0,1672.0,19.0,51.0,24.0,1.0,1.2022009999999999,0.469701,1.2264010000000003
1995-01-01,1770000,401946,649000,Rape or colza seed,1.4354010000000004,184.0,1043.0,2966.0,2514.0,1629.0,1316.0,1114.0,937.0,1001.0,5662.0,2821.0,590.0,3758.0,174.0,152.0,381.0,738.0,47.0,401.0,2435.0,18.0,141.0,41.0,1.0,0.8961010000000001,1.2022009999999999,0.469701
1996-01-01,1758008,415136,645781,Rape or colza seed,0.10790099999999989,173.0,1288.0,3452.0,2631.0,1767.0,1093.0,1178.0,991.0,1125.0,5942.0,2677.0,563.0,3928.0,102.0,156.0,364.0,595.0,42.0,782.0,2642.0,18.0,84.0,53.0,0.0,1.4354010000000004,0.8961010000000001,1.2022009999999999
1997-01-01,1788388,409536,658895,Rape or colza seed,1.815501,188.0,795.0,2989.0,2158.0,2111.0,1156.0,1295.0,707.0,812.0,6208.0,2593.0,392.0,4315.0,188.0,100.0,305.0,654.0,35.0,138.0,3040.0,42.0,104.0,59.0,1.0,0.10790099999999989,1.4354010000000004,0.8961010000000001
1998-01-01,1903017,406678,628733,Rape or colza seed,1.214101,223.0,1035.0,2830.0,2989.0,1788.0,1197.0,1097.0,541.0,837.0,7424.0,2541.0,390.0,4272.0,202.0,96.0,435.0,648.0,61.0,125.0,3741.0,81.0,93.0,74.0,0.0,1.815501,0.10790099999999989,1.4354010000000004
1999-01-01,2014010,420000,599150,Rape or colza seed,1.199501,228.0,1318.0,2381.0,2385.0,1789.0,1172.0,1176.0,696.0,613.0,7308.0,2465.0,358.0,3035.0,180.0,64.0,473.0,598.0,47.0,87.0,2765.0,140.0,96.0,78.0,0.0,1.214101,1.815501,0.10790099999999989
2000-01-01,1847507,351317,543952,Rape or colza seed,0.7367010000000004,193.27,792.17,1871.66,3009.89,2194.46,1314.41,1959.03,802.2,668.86,6680.33,2342.78,1259.85,2708.81,86.04,106.96,449.78,705.39,32.18,84.03,2141.86,114.0,110.74,78.2,0.3,1.199501,1.214101,1.815501
2001-01-01,1792212,315339,505862,Rape or colza seed,1.316301,205.07,913.95,1438.38,1958.85,2199.62,1306.07,1773.87,316.06,776.76,6522.8,1637.69,1437.61,2302.63,61.93,112.42,393.86,714.37,26.12,90.83,2943.45,81.58,106.56,68.21,0.2,0.7367010000000004,1.199501,1.214101
2002-01-01,1787833,327387,479673,Rape or colza seed,0.2993010000000001,323.97,795.09,1814.0,2485.87,3152.39,1344.47,1831.82,570.01,680.33,6687.86,1927.08,756.6,1690.73,77.18,142.61,296.68,843.99,51.83,137.4,3146.74,106.44,114.51,69.0,0.1,1.316301,0.7367010000000004,1.199501
2003-01-01,1827767,284138,486464,Rape or colza seed,0.8899010000000004,49.16,655.17,2611.99,2786.63,2643.78,1078.6,2030.56,658.33,894.83,6109.07,1559.67,1444.86,2377.27,54.73,85.92,386.61,478.04,32.84,128.04,3275.93,78.82,117.49,157.45,0.1,0.2993010000000001,1.316301,0.7367010000000004
2004-01-01,1778438,302714,478415,Rape or colza seed,2.227101,81.98,828.26,1960.16,958.42,2816.43,1210.85,2116.78,602.17,1014.27,6523.4,1367.5,1674.3,2413.92,151.0,120.06,495.05,401.05,34.5,192.49,3007.76,131.51,115.21,95.36,0.1,0.8899010000000004,0.2993010000000001,1.316301
2005-01-01,1784996,273937,426111,Rape or colza seed,0.6342009999999999,62.09,773.65,2052.92,1618.71,3844.31,1189.43,2325.59,572.87,1021.06,6760.73,1354.26,1477.98,1902.01,109.7,211.46,247.44,360.88,33.83,147.8,3347.26,100.25,104.06,91.73,0.1,2.227101,0.8899010000000004,0.2993010000000001
2006-01-01,1599788,264610,442578,Rape or colza seed,0.9622010000000002,55.18,721.0,1821.52,1863.35,3809.17,1251.33,2450.6,597.58,1534.5,6952.35,1316.64,1572.02,2461.68,113.28,154.48,120.82,347.74,39.92,104.88,3229.24,115.33,68.07,109.34,0.1,0.6342009999999999,2.227101,0.8899010000000004
2007-01-01,1807176,316692,511303,Rape or colza seed,0.6890010000000001,61.21,593.04,2383.78,2044.23,3871.61,1355.51,2906.99,719.77,1009.07,7594.14,1133.07,1782.14,1814.94,168.26,129.13,293.8,701.4,77.85,121.74,2826.45,143.55,104.04,99.54,0.1,0.9622010000000002,0.6342009999999999,2.227101
2008-01-01,1550625,174345,179171,Rape or colza seed,1.3108010000000003,66.04,714.68,2162.09,2357.55,4107.59,1344.57,3240.24,518.62,831.32,9572.6,914.86,1718.87,1605.44,160.37,115.63,195.9,645.55,58.12,123.02,2921.53,183.65,91.15,132.89,0.41,0.6890010000000001,0.9622010000000002,0.6342009999999999
2009-01-01,1569045,235159,362791,Rape or colza seed,1.5130010000000003,169.81,809.46,1534.54,2351.21,3852.59,1483.63,2895.95,634.27,893.97,5882.46,1604.93,1552.39,1479.22,118.89,191.22,336.08,646.68,62.69,87.57,2844.31,174.13,91.02,124.83,0.41,1.3108010000000003,0.6890010000000001,0.9622010000000002
2010-01-01,1786485,286348,433743,Rape or colza seed,0.599301,118.77,739.39,1605.55,1875.52,4127.99,1199.48,3644.42,812.79,828.51,6801.31,1008.4,1793.04,1583.14,111.97,208.91,237.59,633.6,51.72,108.14,2710.49,125.96,99.95,103.44,0.04,1.5130010000000003,1.3108010000000003,0.6890010000000001
2011-01-01,1640414,247080,386414,Rape or colza seed,1e-06,134.38,767.47,1480.43,2144.48,3641.63,1919.28,3594.07,866.8,829.23,7570.13,1023.31,2269.73,1517.49,155.22,234.98,79.44,553.37,86.38,110.28,3165.29,107.93,119.64,122.37,0.04,0.599301,1.5130010000000003,1.3108010000000003
2012-01-01,1648828,284168,421042,Rape or colza seed,1.765201,134.88,588.52,1243.46,1920.32,3014.48,1872.51,4289.26,1020.85,890.15,8300.47,912.28,2508.61,1618.61,114.09,230.81,158.3,503.01,84.26,169.53,3233.11,159.12,125.92,165.32,0.03,1e-06,0.599301,1.5130010000000003
2013-01-01,1675289,283997,457131,Rape or colza seed,1.2426009999999998,161.4,650.0,1366.6,2165.3,3655.3,2111.0,3815.6,900.2,927.0,7150.1,1114.6,2368.3,1368.9,259.5,100.5,157.4,485.0,93.1,140.0,2885.5,78.1,81.7,108.0,0.0,1.765201,1e-06,0.599301
2014-01-01,1822791,301184,459855,Rape or colza seed,1.521101,95.23,654.85,1613.57,2746.14,4848.18,2632.58,3681.37,909.0,938.88,7379.42,1291.52,2036.57,1362.56,124.09,54.16,132.02,372.21,122.19,138.31,2220.81,95.53,100.42,117.3,0.01,1.2426009999999998,1.765201,1e-06
2015-01-01,1710616,287762,397759,Rape or colza seed,0.4084010000000003,77.7,735.09,1627.26,2592.83,4863.35,2924.24,3562.88,905.05,974.72,6352.58,952.41,1928.81,1103.62,112.19,173.04,133.03,443.66,118.73,151.78,3708.34,33.69,122.67,381.23,0.01,1.521101,1.2426009999999998,1.765201
2016-01-01,1658837,231079,430080,Rape or colza seed,0.538701,67.0,458.0,1560.0,2404.0,5304.0,2352.0,3404.0,198.0,980.0,6779.0,643.0,1753.0,1015.0,19.0,191.0,11.0,15019.0,105.0,138.0,3871.0,8.0,132.0,122.0,0.04,0.4084010000000003,1.521101,1.2426009999999998
